vending_id,cosmetic_id,stock
1,1,13.0
1,53,8.0
1,93,14.0
1,3,6.0
1,54,6.0
1,95,8.0
1,4,9.0
1,58,11.0
1,96,7.0
1,7,8.0
1,63,3.0
1,99,10.0
1,8,4.0
1,68,14.0
1,102,7.0
1,14,5.0
1,70,12.0
1,104,12.0
1,15,8.0
1,75,4.0
1,106,4.0
1,24,10.0
1,78,14.0
1,107,8.0
2,25,8.0
2,79,6.0
2,109,11.0
2,30,6.0
2,80,6.0
2,110,13.0
2,32,14.0
2,81,9.0
2,112,5.0
2,36,12.0
2,82,4.0
2,113,14.0
2,39,11.0
2,83,7.0
2,117,14.0
2,40,15.0
2,84,7.0
2,120,5.0
2,41,5.0
2,86,7.0
2,93,7.0
2,43,5.0
2,88,9.0
2,95,9.0
3,2,10.0
3,47,9.0
3,92,4.0
3,9,6.0
3,48,12.0
3,97,4.0
3,10,15.0
3,49,14.0
3,100,4.0
3,11,4.0
3,56,12.0
3,103,15.0
3,12,12.0
3,59,8.0
3,108,7.0
3,18,4.0
3,62,13.0
3,116,9.0
3,23,5.0
3,65,9.0
3,118,11.0
3,26,6.0
3,66,11.0
3,92,14.0
4,27,5.0
4,69,9.0
4,97,10.0
4,28,13.0
4,72,12.0
4,100,5.0
4,29,14.0
4,74,14.0
4,103,5.0
4,31,8.0
4,76,8.0
4,108,14.0
4,35,13.0
4,47,5.0
4,92,6.0
4,38,6.0
4,48,3.0
4,97,3.0
4,42,3.0
4,49,10.0
4,100,5.0
4,2,13.0
4,47,9.0
4,92,8.0
5,5,5.0
5,46,9.0
5,91,8.0
5,6,6.0
5,50,9.0
5,94,6.0
5,13,9.0
5,51,12.0
5,98,8.0
5,16,6.0
5,52,11.0
5,101,6.0
5,17,15.0
5,55,9.0
5,105,11.0
5,19,14.0
5,57,11.0
5,111,7.0
5,20,13.0
5,60,10.0
5,114,9.0
5,21,5.0
5,61,10.0
5,115,7.0
6,22,7.0
6,64,9.0
6,119,5.0
6,33,5.0
6,67,10.0
6,91,13.0
6,34,14.0
6,71,8.0
6,94,7.0
6,37,8.0
6,73,6.0
6,98,8.0
6,44,4.0
6,77,11.0
6,101,13.0
6,45,14.0
6,85,13.0
6,105,14.0
6,5,13.0
6,46,8.0
6,91,5.0
6,6,12.0
6,50,14.0
6,94,14.0
7,1,3.0
7,53,9.0
7,93,4.0
7,3,10.0
7,54,7.0
7,95,3.0
7,4,11.0
7,58,10.0
7,96,10.0
7,7,10.0
7,63,9.0
7,99,14.0
7,8,6.0
7,68,9.0
7,102,7.0
7,14,8.0
7,70,10.0
7,104,6.0
7,15,11.0
7,75,8.0
7,106,10.0
7,24,15.0
7,78,11.0
7,107,10.0
8,25,10.0
8,79,9.0
8,109,5.0
8,30,14.0
8,80,12.0
8,110,4.0
8,32,10.0
8,81,15.0
8,112,6.0
8,36,4.0
8,82,14.0
8,113,6.0
8,39,11.0
8,83,6.0
8,117,3.0
8,40,14.0
8,84,10.0
8,120,11.0
8,41,5.0
8,86,12.0
8,93,5.0
8,43,4.0
8,88,10.0
8,95,14.0
9,2,3.0
9,47,10.0
9,92,4.0
9,9,7.0
9,48,11.0
9,97,10.0
9,10,8.0
9,49,12.0
9,100,11.0
9,11,9.0
9,56,15.0
9,103,9.0
9,12,12.0
9,59,6.0
9,108,7.0
9,18,10.0
9,62,6.0
9,116,10.0
9,23,8.0
9,65,12.0
9,118,15.0
9,26,10.0
9,66,13.0
9,92,13.0
10,27,4.0
10,69,12.0
10,97,13.0
10,28,15.0
10,72,13.0
10,100,12.0
10,29,4.0
10,74,8.0
10,103,13.0
10,31,13.0
10,76,4.0
10,108,7.0
10,35,6.0
10,47,6.0
10,92,3.0
10,38,3.0
10,48,5.0
10,97,6.0
10,42,11.0
10,49,8.0
10,100,12.0
10,2,7.0
10,47,4.0
10,92,13.0
