ID,name,product_type,skin_type,price,rating
1,Handbag Holiday Cutile Oil,Treatment,dry,100.1,1.7
2,LIPPY,Lipgloss,oily,23.1,2.8
3,Hardwear P.D. Quick Top Coat,Top Coat,dry,41.3,1.6
4,Horse Power Nail Fertilizer,Treatment,dry,149.1,3.2
5,Kitten Heels Powder Finish Foot Creme,Cream,sensitive,31.4,2.9
6,Matte Finish Top Coat,Top Coat,sensitive,85.4,2.6
7,Melt Away Cuticle Eliminator,Treatment,dry,14.6,2.2
8,Nail File,Nail File,dry,91.3,3.2
9,Nail Foundation Flawless Base Coat,Base Coat,oily,50.6,1.7
10,Nail Lacquer,Nail Color,oily,142.7,2.0
11,Powder Room,Polish Remover,oily,86.4,4.6
12,Rock Off Glycolic Callus Peel,Exfoliators & Scrubs,oily,145.4,2.7
13,Royal Punch Remover,Polish Remover,sensitive,86.3,3.0
14,Stiletto Stick Hydrating Heel Balm,Moisturizer,dry,114.4,2.8
15,Angle Eye Shadow,Eye,dry,83.1,1.9
16,Beach Body Lotion,Lotion,sensitive,90.0,3.4
17,Beach Body Oil,Oil,sensitive,77.7,2.9
18,Beach Body Scrub,Exfoliators & Scrubs,oily,75.1,2.9
19,Beach Shower Gel,Gel,sensitive,112.4,1.2
20,Blush,Powder,sensitive,36.4,2.1
21,Brightening Finishing Powder,Pressed Finishing,sensitive,29.4,2.6
22,Brightening Lip Gloss,Lipgloss,sensitive,131.0,2.7
23,Bronzer,Face,oily,52.0,0.9
24,Bronzing Powder,Powder,dry,37.1,2.3
25,Brush Cleaning Spray,Brush Cleanser,dry,81.6,2.3
26,Buffing Grains for Face,Facial Exfoliator,oily,24.2,2.9
27,Concealer,Face,oily,40.3,2.1
28,Concealer Blending,Eye,oily,42.1,1.6
29,Conditioning Brush Cleanser,Brush Cleanser,oily,29.0,2.5
30,Cream Shadow,Eye,dry,17.3,2.7
31,Creamy Lip Color,Lipstick,oily,57.3,2.2
32,Creamy Matte Lip Color,Lipstick,dry,38.0,2.1
33,Crystal Lip Gloss,Lipgloss,sensitive,91.7,2.6
34,Deluxe Size Hydrating Face Cream,Cream,sensitive,35.7,2.8
35,Everything Mascara,Lengthening,oily,108.2,2.2
36,EXTRA Balm Rinse,Gel,dry,146.2,2.9
37,EXTRA Eye Repair Cream,Eye Cream,sensitive,112.9,2.7
38,EXTRA Face Oil,Oil,oily,48.8,1.0
39,EXTRA Repair Moisturizing Balm SPF 25,Balm,dry,43.7,2.3
40,EXTRA Repair Serum,Hydrating,dry,22.1,1.9
