id,name,product_type,skin_type,price,rating
1,Handbag Holiday Cutile cream,CREAM,dry,100.1,1.7
2,LIPPY cream,CREAM,oily,23.1,2.8
3,Hardwear P.D. Quick cream,CREAM,dry,41.3,1.6
4,Horse Power cream,CREAM,dry,149.1,3.2
5,Kitten Heels Powder Finish Foot cream,CREAM,sensitive,31.4,2.9
6,Matte Finish cream,CREAM,sensitive,85.4,2.6
7,Melt Away cream,CREAM,dry,14.6,2.2
8,M.D.D cream,CREAM,dry,91.3,3.2
9,Flawless Base cream,CREAM,oily,50.6,1.7
10,Lacquer cream,CREAM,oily,142.7,2
11,Powder Room cream,CREAM,oily,86.4,4.6
12,Rock Off Glycolic Callus cream,CREAM,oily,145.4,2.7
13,Royal Punch cream,CREAM,sensitive,86.3,3
14,Stiletto Stick Hydrating Heel cream,CREAM,dry,114.4,2.8
15,Angle Eye cream,CREAM,dry,83.1,1.9
16,Beach Body cream,CREAM,sensitive,90,3.4
17,Beach cream,CREAM,sensitive,77.7,2.9
18,Beach C.C cream,CREAM,oily,75.1,2.9
19,A.C cream,CREAM,sensitive,112.4,1.2
20,Blush cream,CREAM,sensitive,36.4,2.1
21,Brightening Finishing cream,CREAM,sensitive,29.4,2.6
22,Brightening Lip cream,CREAM,sensitive,131,2.7
23,Bronzer cream,CREAM,oily,52,0.9
24,Bronzing cream,CREAM,dry,37.1,2.3
25,D.C cream,CREAM,dry,81.6,2.3
26,Buffing Grains cream,CREAM,oily,24.2,2.9
27,Flower cream,CREAM,oily,40.3,2.1
28,Blending cream,CREAM,oily,42.1,1.6
29,Conditioning Brush cream,CREAM,oily,29,2.5
30,Shadow cream,CREAM,dry,17.3,2.7
31,A.h cream,CREAM,oily,57.3,2.2
32,Matte cream,CREAM,dry,38,2.1
33,Crystal cream,CREAM,sensitive,91.7,2.6
34,Deluxe Size Hydrating Face cream,CREAM,sensitive,35.7,2.8
35,Liner cream,CREAM,oily,108.2,2.2
36,EXTRA cream,CREAM,dry,146.2,2.9
37,EXTRA Eye Repair cream,CREAM,sensitive,112.9,2.7
38,EXTRA Face cream,CREAM,oily,48.8,1
39,EXTRA Repair Moisturizing cream,CREAM,dry,43.7,2.3
40,EXTRA Repair cream,CREAM,dry,22.1,1.9
41,EXTRA Soothing cream,CREAM,dry,19.2,3
42,Extreme Party cream,CREAM,oily,144.1,2.4
43,Coco cream,CREAM,dry,139.3,1.6
44,Line Liver cream,CREAM,sensitive,10.1,3.5
45,Bright cream,CREAM,sensitive,47.4,2
46,Handbag Holiday Cutile moisturize,MOSITURIZER,sensitive,115.5,1.5
47,LIPPY moisturize,MOSITURIZER,oily,33.5,2.3
48,Hardwear P.D. Quick moisturize,MOSITURIZER,oily,66,2.8
49,Horse Power moisturize,MOSITURIZER,oily,47.2,0.2
50,Kitten Heels Powder Finish Foot moisturize,MOSITURIZER,sensitive,13,3.1
51,Matte Finish moisturize,MOSITURIZER,sensitive,74.1,3.1
52,Melt Away moisturize,MOSITURIZER,sensitive,91.8,0.8
53,M.D.D moisturize,MOSITURIZER,dry,142.2,1.8
54,Flawless Base moisturize,MOSITURIZER,dry,23.7,1.6
55,Lacquer moisturize,MOSITURIZER,sensitive,92,3.5
56,Powder Room moisturize,MOSITURIZER,oily,21.6,2.9
57,Rock Off Glycolic Callus moisturize,MOSITURIZER,sensitive,87.9,4.5
58,Royal Punch moisturize,MOSITURIZER,dry,20,2.7
59,Stiletto Stick Hydrating Heel moisturize,MOSITURIZER,oily,125.6,3.5
60,Angle Eye moisturize,MOSITURIZER,sensitive,65.6,2.1
61,Beach Body moisturize,MOSITURIZER,sensitive,136.1,2.5
62,Beach moisturize,MOSITURIZER,oily,140.4,2.7
63,Beach C.C moisturize,MOSITURIZER,dry,106.9,1.5
64,A.C moisturize,MOSITURIZER,sensitive,141.7,1.9
65,Blush moisturize,MOSITURIZER,oily,40.8,3.3
66,Brightening Finishing moisturize,MOSITURIZER,oily,10.1,3.3
67,Brightening Lip moisturize,MOSITURIZER,sensitive,112.4,3.7
68,Bronzer moisturize,MOSITURIZER,dry,63.6,3.9
69,Bronzing moisturize,MOSITURIZER,oily,87.3,2.7
70,D.C moisturize,MOSITURIZER,dry,97.5,2
71,Buffing Grains moisturize,MOSITURIZER,sensitive,13.2,3.1
72,Flower moisturize,MOSITURIZER,oily,20.6,3.3
73,Blending moisturize,MOSITURIZER,sensitive,33.4,2.3
74,Conditioning Brush moisturize,MOSITURIZER,oily,29.7,2
75,Shadow moisturize,MOSITURIZER,dry,12.6,1.8
76,A.h moisturize,MOSITURIZER,oily,14.9,1.5
77,Matte moisturize,MOSITURIZER,sensitive,110.3,2.6
78,Crystal moisturize,MOSITURIZER,dry,75.6,2.1
79,Deluxe Size Hydrating Face moisturize,MOSITURIZER,dry,35.6,1.6
80,Liner moisturize,MOSITURIZER,dry,127.1,1.6
81,EXTRA moisturize,MOSITURIZER,dry,76.5,3.6
82,EXTRA Eye Repair moisturize,MOSITURIZER,dry,121.7,2.8
83,EXTRA Face moisturize,MOSITURIZER,dry,79,0.9
84,EXTRA Repair Moisturizing moisturize,MOSITURIZER,dry,138.3,2.5
85,EXTRA Repair moisturize,MOSITURIZER,sensitive,49.9,3
86,EXTRA Soothing moisturize,MOSITURIZER,dry,58.2,1.9
87,Extreme Party moisturize,MOSITURIZER,sensitive,13.4,1.9
88,Coco moisturize,MOSITURIZER,dry,107.9,2.5
89,Line Liver moisturize,MOSITURIZER,dry,145.2,1.9
90,Bright moisturize,MOSITURIZER,sensitive,34.8,2.9
91,Handbag Holiday Cutile sunblock,SUNSCREEN,sensitive,87.3,2
92,LIPPY sunblock,SUNSCREEN,oily,28.3,3
93,Hardwear P.D. Quick sunblock,SUNSCREEN,dry,90.1,1.1
94,Horse Power sunblock,SUNSCREEN,sensitive,112.6,3.2
95,Kitten Heels Powder Finish Foot sunblock,SUNSCREEN,dry,67,2.2
96,Matte Finish sunblock,SUNSCREEN,dry,78.5,2.5
97,Melt Away sunblock,SUNSCREEN,oily,18.6,3.7
98,M.D.D sunblock,SUNSCREEN,sensitive,20.3,2.1
99,Flawless Base sunblock,SUNSCREEN,dry,121.6,3.6
100,Lacquer sunblock,SUNSCREEN,oily,111,2.4
101,Powder Room sunblock,SUNSCREEN,sensitive,145.7,3
102,Rock Off Glycolic Callus sunblock,SUNSCREEN,dry,18.2,2
103,Royal Punch sunblock,SUNSCREEN,oily,54.5,2.8
104,Stiletto Stick Hydrating Heel sunblock,SUNSCREEN,dry,145.7,2.6
105,Angle Eye sunblock,SUNSCREEN,sensitive,121.6,2.2
106,Beach Body sunblock,SUNSCREEN,dry,122.2,1.8
107,Beach sunblock,SUNSCREEN,dry,122,2.6
108,Beach C.C sunblock,SUNSCREEN,oily,18.4,2.9
109,A.C sunblock,SUNSCREEN,dry,53.6,1.8
110,Blush sunblock,SUNSCREEN,dry,76.2,4.9
111,Brightening Finishing sunblock,SUNSCREEN,sensitive,39.4,2.1
112,Brightening Lip sunblock,SUNSCREEN,dry,144,2.1
113,Bronzer sunblock,SUNSCREEN,dry,53.4,2.8
114,Bronzing sunblock,SUNSCREEN,sensitive,138,4.3
115,D.C sunblock,SUNSCREEN,sensitive,23.8,2.2
116,Buffing Grains sunblock,SUNSCREEN,oily,63.7,2.4
117,Flower sunblock,SUNSCREEN,dry,43.3,2.9
118,Blending sunblock,SUNSCREEN,oily,76.8,2.6
119,Conditioning Brush sunblock,SUNSCREEN,sensitive,23.2,2.4
120,Shadow sunblock,SUNSCREEN,dry,149.6,2.6
